IP ADDRESS	PORT	COUNTRY	PROTOCOLS	ANONYMITY	ORG & ASN	SPEED	UPTIME	RESPONSE	GOOGLE	LATENCY	UPDATED
214.201.4.1	64463	UZ	Https	Anonymous(ANM)		Medium	22%	0ms	FALSE	38ms	0mins
110.174.192.146	50286	RW	Socks5	Anonymous(ANM)		Medium	7%	0ms	FALSE	86ms	0mins
224.230.34.9	43442	QA	Http	Anonymous(ANM)		Medium	99%	0ms	FALSE	4ms	0mins
12.121.52.87	41749	WF	Socks5	Anonymous(ANM)		Medium	97%	0ms	FALSE	56ms	0mins
66.9.242.60	36176	MV	Socks5	Elite(HIA)		Slow	41%	0ms	FALSE	55ms	0mins
4.202.72.213	1694	VU	Http	Elite(HIA)		Slow	49%	0ms	FALSE	40ms	0mins
1.252.92.254	17477	AW	Socks4	Transparent(NOA)		Fast	3%	0ms	FALSE	14ms	0mins
212.252.6.255	6565	BH	Socks5	Anonymous(ANM)		Medium	22%	0ms	FALSE	14ms	0mins
41.139.11.69	32534	NE	Socks5	Transparent(NOA)		Fast	86%	0ms	FALSE	55ms	0mins
3.6.116.255	6441	MP	Http	Transparent(NOA)		Fast	71%	0ms	FALSE	62ms	0mins
5.201.112.29	13792	FK	Socks4	Anonymous(ANM)		Medium	83%	0ms	FALSE	36ms	0mins
160.216.110.132	44498	AN	Http	Elite(HIA)		Slow	5%	0ms	FALSE	13ms	0mins
13.97.1.251	44408	MQ	Socks5	Anonymous(ANM)		Medium	19%	0ms	FALSE	71ms	0mins
250.241.252.0	3527	SM	Https	Anonymous(ANM)		Medium	36%	0ms	FALSE	18ms	0mins
178.217.71.229	39276	AR	Https	Elite(HIA)		Slow	23%	0ms	FALSE	33ms	0mins
254.55.254.36	49643	DO	Http	Anonymous(ANM)		Medium	71%	0ms	FALSE	12ms	0mins
251.152.0.253	54705	SA	Http	Elite(HIA)		Slow	89%	0ms	FALSE	33ms	0mins
31.8.240.196	38355	SM	Https	Anonymous(ANM)		Medium	4%	0ms	FALSE	29ms	0mins
169.139.160.51	36354	HM	Socks5	Transparent(NOA)		Fast	93%	0ms	FALSE	47ms	0mins
254.226.219.252	19616	BY	Socks5	Transparent(NOA)		Fast	39%	0ms	FALSE	87ms	0mins
1.115.203.205	59783	AW	Https	Anonymous(ANM)		Medium	25%	0ms	FALSE	36ms	0mins
246.230.9.39	14239	DM	Socks4	Elite(HIA)		Slow	49%	0ms	FALSE	81ms	0mins
254.8.7.131	42524	MF	Https	Anonymous(ANM)		Medium	66%	0ms	FALSE	55ms	0mins
250.126.157.154	46570	PG	Http	Anonymous(ANM)		Medium	81%	0ms	FALSE	27ms	0mins
253.3.48.219	24772	PW	Https	Anonymous(ANM)		Medium	100%	0ms	FALSE	86ms	0mins
131.253.253.230	7567	AU	Socks4	Elite(HIA)		Slow	58%	0ms	FALSE	14ms	0mins
250.63.252.142	35251	OM	Https	Transparent(NOA)		Fast	81%	0ms	FALSE	17ms	0mins
224.3.26.252	27691	BL	Http	Transparent(NOA)		Fast	55%	0ms	FALSE	39ms	0mins
147.234.17.240	27350	VA	Socks5	Elite(HIA)		Slow	16%	0ms	FALSE	80ms	0mins
253.250.250.3	57688	IE	Socks4	Transparent(NOA)		Fast	16%	0ms	FALSE	18ms	0mins
232.237.58.215	46883	UA	Socks5	Elite(HIA)		Slow	14%	0ms	FALSE	27ms	0mins
93.22.24.253	56525	NI	Socks4	Anonymous(ANM)		Medium	99%	0ms	FALSE	24ms	0mins
162.98.138.1	35942	TG	Socks5	Anonymous(ANM)		Medium	56%	0ms	FALSE	96ms	0mins
9.161.51.11	4019	RE	Https	Transparent(NOA)		Fast	67%	0ms	FALSE	54ms	0mins
162.251.253.17	64929	IL	Socks4	Anonymous(ANM)		Medium	19%	0ms	FALSE	27ms	0mins
5.242.254.6	49449	SK	Socks4	Transparent(NOA)		Fast	51%	0ms	FALSE	70ms	0mins
206.149.253.5	63587	DO	Socks5	Anonymous(ANM)		Medium	69%	0ms	FALSE	61ms	0mins
251.17.251.255	10433	TH	Http	Anonymous(ANM)		Medium	6%	0ms	FALSE	66ms	0mins
3.108.122.253	21492	GP	Socks4	Transparent(NOA)		Fast	92%	0ms	FALSE	70ms	0mins
252.3.191.217	32363	KR	Socks5	Transparent(NOA)		Fast	23%	0ms	FALSE	83ms	0mins
250.2.152.253	28526	AI	Http	Anonymous(ANM)		Medium	20%	0ms	FALSE	13ms	0mins
252.251.178.224	45399	AF	Socks4	Elite(HIA)		Slow	38%	0ms	FALSE	1ms	0mins
160.255.221.158	60597	BA	Https	Transparent(NOA)		Fast	14%	0ms	FALSE	59ms	0mins
182.14.2.243	61377	BI	Https	Transparent(NOA)		Fast	98%	0ms	FALSE	4ms	0mins
0.83.143.252	62605	MO	Socks4	Anonymous(ANM)		Medium	55%	0ms	FALSE	30ms	0mins
144.53.251.4	46205	KM	Socks5	Transparent(NOA)		Fast	62%	0ms	FALSE	36ms	0mins
198.7.220.203	64727	TJ	Socks4	Anonymous(ANM)		Medium	99%	0ms	FALSE	14ms	0mins
122.219.145.1	32415	MM	Socks5	Anonymous(ANM)		Medium	71%	0ms	FALSE	9ms	0mins
252.208.8.5	53857	CX	Socks4	Elite(HIA)		Slow	82%	0ms	FALSE	21ms	0mins
5.224.233.55	35604	GA	Https	Elite(HIA)		Slow	80%	0ms	FALSE	34ms	0mins
239.214.250.207	32468	NF	Socks4	Anonymous(ANM)		Medium	1%	0ms	FALSE	63ms	0mins
96.255.65.167	5020	GM	Socks4	Transparent(NOA)		Fast	30%	0ms	FALSE	31ms	0mins
223.252.12.191	533	NC	Http	Anonymous(ANM)		Medium	66%	0ms	FALSE	83ms	0mins
242.218.251.252	47972	EE	Http	Anonymous(ANM)		Medium	32%	0ms	FALSE	96ms	0mins
210.152.51.224	3037	EC	Socks4	Anonymous(ANM)		Medium	5%	0ms	FALSE	74ms	0mins
21.241.39.211	56403	LK	Socks4	Elite(HIA)		Slow	88%	0ms	FALSE	60ms	0mins
175.183.81.248	55808	FI	Socks5	Anonymous(ANM)		Medium	89%	0ms	FALSE	29ms	0mins
255.13.6.126	36521	HT	Http	Anonymous(ANM)		Medium	31%	0ms	FALSE	50ms	0mins
30.253.170.231	44824	NL	Socks4	Elite(HIA)		Slow	76%	0ms	FALSE	51ms	0mins
6.3.8.251	52848	ZA	Socks5	Anonymous(ANM)		Medium	75%	0ms	FALSE	43ms	0mins
0.240.2.253	55766	MA	Https	Anonymous(ANM)		Medium	55%	0ms	FALSE	74ms	0mins
29.1.254.240	10986	TM	Http	Anonymous(ANM)		Medium	61%	0ms	FALSE	95ms	0mins
248.2.1.147	50198	RW	Socks4	Elite(HIA)		Slow	89%	0ms	FALSE	34ms	0mins
139.251.4.66	9522	AN	Http	Elite(HIA)		Slow	69%	0ms	FALSE	29ms	0mins
254.230.178.127	28768	SK	Https	Transparent(NOA)		Fast	47%	0ms	FALSE	26ms	0mins
254.140.222.239	12623	PN	Socks5	Transparent(NOA)		Fast	14%	0ms	FALSE	50ms	0mins
255.223.69.209	17181	CY	Socks4	Transparent(NOA)		Fast	5%	0ms	FALSE	72ms	0mins
216.2.148.2	35114	AF	Socks4	Anonymous(ANM)		Medium	96%	0ms	FALSE	18ms	0mins
254.3.1.1	56046	CU	Https	Anonymous(ANM)		Medium	37%	0ms	FALSE	23ms	0mins
245.195.238.223	36271	AR	Https	Elite(HIA)		Slow	73%	0ms	FALSE	34ms	0mins
232.251.127.9	2550	BL	Socks5	Anonymous(ANM)		Medium	44%	0ms	FALSE	23ms	0mins
0.253.49.8	30683	BV	Socks4	Elite(HIA)		Slow	54%	0ms	FALSE	43ms	0mins
184.253.254.228	2234	TN	Socks4	Elite(HIA)		Slow	40%	0ms	FALSE	36ms	0mins
247.213.255.2	59871	SJ	Https	Transparent(NOA)		Fast	20%	0ms	FALSE	28ms	0mins
88.81.250.247	35905	CF	Https	Elite(HIA)		Slow	48%	0ms	FALSE	29ms	0mins
244.219.17.2	52276	FO	Socks4	Elite(HIA)		Slow	5%	0ms	FALSE	100ms	0mins
253.8.250.203	7766	CD	Socks5	Transparent(NOA)		Fast	62%	0ms	FALSE	84ms	0mins
5.4.5.227	16304	GA	Https	Elite(HIA)		Slow	9%	0ms	FALSE	54ms	0mins
6.8.251.166	61462	GM	Https	Elite(HIA)		Slow	78%	0ms	FALSE	71ms	0mins
251.40.3.5	52396	SA	Socks4	Elite(HIA)		Slow	59%	0ms	FALSE	1ms	0mins
108.247.44.254	29685	SS	Https	Transparent(NOA)		Fast	37%	0ms	FALSE	69ms	0mins
103.8.6.78	49077	IT	Socks5	Anonymous(ANM)		Medium	49%	0ms	FALSE	48ms	0mins
250.252.255.252	15337	CH	Socks4	Anonymous(ANM)		Medium	22%	0ms	FALSE	67ms	0mins
4.217.252.128	14839	PE	Socks4	Elite(HIA)		Slow	44%	0ms	FALSE	97ms	0mins
235.121.79.239	13575	LV	Https	Transparent(NOA)		Fast	98%	0ms	FALSE	78ms	0mins
102.253.231.0	56136	LV	Socks5	Anonymous(ANM)		Medium	4%	0ms	FALSE	3ms	0mins
84.49.84.2	59535	BY	Socks5	Elite(HIA)		Slow	19%	0ms	FALSE	67ms	0mins
253.153.167.214	53753	AZ	Socks5	Transparent(NOA)		Fast	52%	0ms	FALSE	36ms	0mins
62.44.214.59	33664	UA	Https	Elite(HIA)		Slow	70%	0ms	FALSE	60ms	0mins
251.76.180.255	61476	TN	Http	Transparent(NOA)		Fast	68%	0ms	FALSE	82ms	0mins
6.44.250.95	65253	TH	Http	Elite(HIA)		Slow	27%	0ms	FALSE	42ms	0mins
74.173.4.253	62654	TF	Socks4	Anonymous(ANM)		Medium	16%	0ms	FALSE	37ms	0mins
110.118.202.208	59095	KZ	Http	Elite(HIA)		Slow	13%	0ms	FALSE	73ms	0mins
43.106.9.149	40894	PK	Https	Elite(HIA)		Slow	95%	0ms	FALSE	74ms	0mins
5.185.120.251	2071	KN	Socks5	Transparent(NOA)		Fast	66%	0ms	FALSE	16ms	0mins
251.219.255.63	31587	PT	Https	Elite(HIA)		Slow	89%	0ms	FALSE	53ms	0mins
241.14.246.160	28473	VG	Socks5	Anonymous(ANM)		Medium	89%	0ms	FALSE	69ms	0mins
163.254.3.0	22535	TZ	Socks4	Anonymous(ANM)		Medium	9%	0ms	FALSE	92ms	0mins
192.118.64.60	43319	XK	Socks5	Elite(HIA)		Slow	90%	0ms	FALSE	29ms	0mins
56.146.2.221	34217	GL	Http	Transparent(NOA)		Fast	68%	0ms	FALSE	35ms	0mins
243.7.96.251	34728	NL	Socks5	Elite(HIA)		Slow	34%	0ms	FALSE	17ms	0mins
4.212.4.9	34657	SA	Http	Elite(HIA)		Slow	20%	0ms	FALSE	91ms	0mins
77.252.60.244	48162	VU	Https	Elite(HIA)		Slow	9%	0ms	FALSE	53ms	0mins
135.6.255.255	15482	TV	Socks5	Anonymous(ANM)		Medium	29%	0ms	FALSE	8ms	0mins
70.5.255.207	61137	TZ	Socks5	Anonymous(ANM)		Medium	97%	0ms	FALSE	44ms	0mins
252.7.9.229	32449	PA	Socks5	Transparent(NOA)		Fast	90%	0ms	FALSE	76ms	0mins
6.254.225.164	31124	GH	Https	Anonymous(ANM)		Medium	31%	0ms	FALSE	73ms	0mins
132.2.249.172	48109	PH	Socks5	Elite(HIA)		Slow	93%	0ms	FALSE	14ms	0mins
201.91.177.177	59229	BN	Https	Anonymous(ANM)		Medium	73%	0ms	FALSE	95ms	0mins
251.28.252.253	51811	EE	Http	Anonymous(ANM)		Medium	71%	0ms	FALSE	11ms	0mins
151.252.214.25	4954	GQ	Http	Transparent(NOA)		Fast	63%	0ms	FALSE	93ms	0mins
252.111.68.254	58341	BY	Socks5	Elite(HIA)		Slow	56%	0ms	FALSE	88ms	0mins
5.234.126.250	27939	MY	Http	Anonymous(ANM)		Medium	95%	0ms	FALSE	31ms	0mins
0.181.27.182	33578	DK	Socks4	Anonymous(ANM)		Medium	31%	0ms	FALSE	67ms	0mins
209.3.205.194	28461	TO	Socks5	Anonymous(ANM)		Medium	11%	0ms	FALSE	29ms	0mins
8.250.1.235	9492	ST	Https	Anonymous(ANM)		Medium	14%	0ms	FALSE	5ms	0mins
230.5.190.31	56654	NZ	Socks4	Elite(HIA)		Slow	61%	0ms	FALSE	9ms	0mins
78.210.116.228	52623	PR	Socks4	Anonymous(ANM)		Medium	19%	0ms	FALSE	10ms	0mins
227.252.92.173	25500	PH	Socks5	Anonymous(ANM)		Medium	14%	0ms	FALSE	2ms	0mins
250.9.36.6	21733	GR	Https	Anonymous(ANM)		Medium	59%	0ms	FALSE	44ms	0mins
211.32.252.218	49577	AT	Https	Transparent(NOA)		Fast	57%	0ms	FALSE	55ms	0mins
84.80.190.37	30230	GT	Http	Transparent(NOA)		Fast	6%	0ms	FALSE	60ms	0mins
253.5.209.9	46753	GW	Socks5	Elite(HIA)		Slow	70%	0ms	FALSE	1ms	0mins
209.35.251.136	30018	LR	Socks4	Anonymous(ANM)		Medium	18%	0ms	FALSE	33ms	0mins
250.8.254.204	47362	BZ	Socks4	Elite(HIA)		Slow	36%	0ms	FALSE	7ms	0mins
81.132.1.26	47269	GY	Socks5	Anonymous(ANM)		Medium	78%	0ms	FALSE	91ms	0mins
8.113.1.88	36730	TT	Socks4	Transparent(NOA)		Fast	84%	0ms	FALSE	96ms	0mins
6.251.214.1	44905	NE	Https	Transparent(NOA)		Fast	31%	0ms	FALSE	82ms	0mins
128.250.46.251	3327	SD	Https	Elite(HIA)		Slow	73%	0ms	FALSE	12ms	0mins
195.5.113.150	17885	SM	Socks5	Transparent(NOA)		Fast	42%	0ms	FALSE	2ms	0mins
250.20.6.253	47508	FR	Socks4	Anonymous(ANM)		Medium	70%	0ms	FALSE	8ms	0mins
137.33.227.212	40488	NC	Socks5	Anonymous(ANM)		Medium	66%	0ms	FALSE	28ms	0mins
38.203.110.215	54018	KN	Socks4	Anonymous(ANM)		Medium	91%	0ms	FALSE	87ms	0mins
209.251.113.78	12951	MA	Socks4	Anonymous(ANM)		Medium	83%	0ms	FALSE	28ms	0mins
224.8.101.72	29484	TT	Socks4	Elite(HIA)		Slow	3%	0ms	FALSE	37ms	0mins
210.22.54.95	38063	DJ	Socks5	Transparent(NOA)		Fast	19%	0ms	FALSE	83ms	0mins
46.58.46.187	16767	PT	Socks5	Transparent(NOA)		Fast	36%	0ms	FALSE	40ms	0mins
97.125.200.251	30458	PF	Https	Transparent(NOA)		Fast	28%	0ms	FALSE	85ms	0mins
165.146.252.85	59282	JP	Socks5	Transparent(NOA)		Fast	57%	0ms	FALSE	3ms	0mins
108.253.87.128	56476	CC	Socks4	Transparent(NOA)		Fast	52%	0ms	FALSE	89ms	0mins
3.5.252.7	7103	PK	Https	Transparent(NOA)		Fast	48%	0ms	FALSE	43ms	0mins
132.5.250.14	56582	MY	Socks5	Anonymous(ANM)		Medium	72%	0ms	FALSE	29ms	0mins
5.251.134.253	19261	AR	Https	Elite(HIA)		Slow	97%	0ms	FALSE	19ms	0mins
210.252.194.5	3885	SJ	Http	Transparent(NOA)		Fast	37%	0ms	FALSE	13ms	0mins
2.231.40.251	29451	LY	Http	Elite(HIA)		Slow	6%	0ms	FALSE	91ms	0mins
138.173.241.241	17460	SB	Https	Anonymous(ANM)		Medium	90%	0ms	FALSE	98ms	0mins
2.253.227.217	50060	BM	Socks4	Transparent(NOA)		Fast	6%	0ms	FALSE	93ms	0mins
255.204.1.7	20869	NP	Https	Anonymous(ANM)		Medium	44%	0ms	FALSE	50ms	0mins
3.25.250.9	54748	CZ	Socks5	Elite(HIA)		Slow	3%	0ms	FALSE	43ms	0mins
189.28.107.111	12206	SN	Http	Anonymous(ANM)		Medium	99%	0ms	FALSE	53ms	0mins
116.194.246.113	41949	IS	Https	Anonymous(ANM)		Medium	10%	0ms	FALSE	61ms	0mins
251.7.4.139	21034	RW	Https	Anonymous(ANM)		Medium	97%	0ms	FALSE	36ms	0mins
255.253.255.253	65100	AW	Http	Transparent(NOA)		Fast	9%	0ms	FALSE	13ms	0mins
73.234.22.202	28750	LI	Https	Transparent(NOA)		Fast	47%	0ms	FALSE	14ms	0mins
